"case_id","county"
1719180,"Riverside "
1719183,"Los Angeles "
1719187,"Los Angeles "
1719224,"Jefferson "
1719243,"Erie "
1719331,"Vanderburgh "
1719418,"San Mateo "
1719423,"San Mateo "
1719424,"San Mateo "
1719429,"St Charles "
1719470,"Henry "
1719520,"Allegheny "
1719564,"Linn "
1719598,"Milwaukee "
1719600,"Harris "
1719607,"Sedgwick "
1719616,"Orange "
1719638,NA
1719739,"Lancaster "
1719745,"Dupage "
1719746,"Cook "
1719765,"Washington "
1719809,NA
1719815,"Richmond "
1719836,"Riverside "
1719837,"Muskegon "
1719859,"Pulaski "
1719917,"King "
1719920,"Snohomish "
1719956,"Gasconade "
1719987,"San Mateo "
1720032,"Dallas "
1720035,"Jefferson "
1720036,"Smith "
1720052,"Fulton "
1720079,"Macomb "
1720096,"Orange "
1720159,"Jefferson "
1720163,"San Mateo "
1720172,"Denton "
1720189,"Bollinger "
1720205,"Washington "
1720226,NA
1720311,"Marion "
1720315,"Hendricks "
1720321,"Union "
1720322,"Union "
1720327,"Essex "
1720338,"Union "
1720349,"McLennan "
1720355,"Iowa "
1720379,NA
1720393,"Mecklenburg "
1720396,"Potter "
1720413,"Harris "
1720459,"Houston "
1720466,"Shawnee "
1720467,"Dallas "
1720469,"New York "
1720476,"Ottawa "
1720487,"Shawnee "
1720493,"Jackson "
1720505,"Kent "
1720513,"Ventura "
1720523,"Lee "
1720528,NA
1720591,"Dallas "
1720594,"Tarrant "
1720596,"Dallas "
1720617,"Wake "
1720619,"New Haven "
1720645,"Riley "
1720651,"Pulaski "
1720662,"El Paso "
1720668,"Fresno "
1720693,"Saratoga "
1720731,"Montgomery "
1720734,"Douglas "
1720746,"Robertson "
1720772,"Erie "
1720801,"Tulsa "
1720846,"Ulster "
1720847,"Dutchess "
1720905,"Outagamie "
1720907,"Dekalb "
1720912,"Ottawa "
1720926,"Utah "
1720977,"Polk "
1720985,"El Paso "
1721022,"Benton "
1721035,"Marion "
1721049,"Providence "
1721052,NA
1721077,"Pima "
1721095,"Pratt "
1721104,"Dallas "
1721111,"Garfield "
1721135,"King "
1721147,"Maricopa "
1721154,"Fairfax "
1721188,"Albany "
1721190,NA
1721191,"Lehigh "
1721210,"Bergen "
1721218,"Marion "
1721230,"Riverside "
1721235,"Summit "
1721241,"Harford "
1721242,"Mecklenburg "
1721247,"Philadelphia "
1721264,"McLennan "
1721277,"Gregg "
1721278,"Sacramento "
1721296,"Utah "
1721321,"Dallas "
1721324,"King "
1721364,"Contra Costa "
1721398,"Rooks "
1721429,"Highlands "
1721468,"Maricopa "
1721548,"Harris "
1721588,"Harris "
1721589,"Galveston "
1721620,"Union "
1721656,"Philadelphia "
1721677,"Lucas "
1721682,"Oakland "
1721703,"St Louis "
1721709,NA
1721713,"St Louis "
1721726,"Los Angeles "
1721731,"Los Angeles "
1721752,"El Paso "
1721754,"El Paso "
1721771,"Clark "
1721785,"Erie "
1721812,"Hillsborough "
1721813,"Citrus "
1721822,"Clayton "
1721840,"Contra Costa "
1721841,"Contra Costa "
1721850,"Dallas "
1721877,"Liberty "
1721910,"St Charles "
1721917,"Cuyahoga "
1721920,"Ross "
1721923,"Franklin "
1721925,"Franklin "
1721971,"Douglas "
1722029,"Oklahoma "
1722031,"Pittsburg "
1722041,"Allegany "
1722057,"Anson "
1722107,"Shasta "
1722109,"Shasta "
1722123,"Clark "
1722155,"Mohave "
1722193,"Hillsborough "
1722215,"Bergen "
1722223,"Cook "
1722236,"Clark "
1722243,"Chittenden "
1722261,"Hutchinson "
1722280,"San Saba "
1722296,"Webb "
1722325,"Essex "
1722364,"Monmouth "
1722369,"Suffolk "
1722371,"Smith "
1722396,"Lancaster "
1722401,"Lancaster "
1722403,"Lancaster "
1722409,"Cameron "
1722410,"Dupage "
1722421,"Los Angeles "
1722432,"Campbell "
1722438,"Dallas "
1722463,"Rutland "
1722464,"Gregg "
1722467,"Kossuth "
1722507,"Harris "
1722517,"Fort Bend "
1722536,"Bexar "
1722556,"Maricopa "
1749065,"Clark "
1722567,"Cumberland "
1722571,"Cumberland "
1722573,"Middlesex "
1722600,"Fulton "
1722607,"Tarrant "
1722612,"Smith "
1722625,"Stafford "
1722643,"Fulton "
1722649,"Leavenworth "
1722650,"Oklahoma "
1722651,"Jackson "
1722652,"Jackson "
1722676,NA
1722705,"Kings "
1722710,"Sacramento "
1722713,"Lee "
1725402,"Sanpete "
1722714,"Sacramento "
1722728,"Palm Beach "
1722739,"Logan "
1722783,"Stearns "
1722805,"Denver "
1722813,"Arapahoe "
1722819,"Pitkin "
1722826,"Jefferson "
1722845,"Honolulu "
1722848,NA
1722866,"Worcester "
1722889,"Sampson "
1722903,"San Mateo "
1722907,"San Mateo "
1722908,"San Diego "
1722909,"San Diego "
1722948,"Clinton "
1722955,"Fresno "
1722985,"Honolulu "
1722986,"Honolulu "
1722990,"New Haven "
1722995,"Montgomery "
1723000,"Montgomery "
1723006,"Snohomish "
1723017,"Dauphin "
1723018,"Dauphin "
1723020,"Washington "
1723042,"Charleston "
1723072,NA
1723086,"Middlesex "
1723089,"Sebastian "
1723107,"Monroe "
1723126,NA
1723132,"San Diego "
1723139,"Dickinson "
1723156,"Madison "
1723161,"Ontario "
1723165,NA
1723187,"Cherokee "
1723204,"Denver "
1723207,"Mecklenburg "
1723211,"Richmond "
1723217,"Mercer "
1723252,"Liberty "
1723288,"Orange "
1723317,"Allen "
1723348,"Seminole "
1723357,"Smith "
1723363,"Grayson "
1723393,"Wake "
1723410,"Maricopa "
1723419,NA
1723422,"Pinellas "
1723439,"St Louis "
1723440,"Montgomery "
1723454,"Butler "
1723459,"Cook "
1723464,"Cook "
1723472,NA
1723478,"Bexar "
1723491,NA
1723495,"Oswego "
1723504,"Tarrant "
1723512,"Midland "
1723519,"Dallas "
1723528,"Fayette "
1723548,NA
1723551,"Dallas "
1723587,"Maricopa "
1723588,"Maricopa "
1723600,"Marion "
1723668,"Allen "
1723669,"Sanpete "
1723673,NA
1723708,"Washington "
1723709,"Lawrence "
1723730,"El Paso "
1723736,"Jasper "
1723737,"Greene "
1723738,"Greene "
1723741,"Johnson "
1723746,"Platte "
1723748,"Buchanan "
1723751,"Jackson "
1723752,"Jackson "
1723753,"El Paso "
1723790,"Jim Wells "
1723792,"Nueces "
1723802,"Dallas "
1723803,"Maui "
1723831,"Kings "
1723835,"Kings "
1723838,"Brazos "
1723851,"Osceola "
1723857,"Los Angeles "
1723859,"Los Angeles "
1723873,"Lee "
1723892,"Los Angeles "
1723905,"Ector "
1723907,"Macomb "
1723910,"Okaloosa "
1723926,"Nueces "
1723957,"Hidalgo "
1723962,"Cameron "
1724018,"Lancaster "
1724030,"Boulder "
1724034,"Larimer "
1724036,"Boulder "
1724062,"Monroe "
1724089,"Doña Ana "
1724092,"Knox "
1724105,"Charles "
1724119,"Jefferson "
1724135,"Cumberland "
1724164,"Oklahoma "
1724181,"Dallas "
1724183,"Tarrant "
1724200,"Kent "
1724206,"Hudson "
1724231,"Nassau "
1724239,"Los Angeles "
