State,State Name,County,NAICS3,Employees,Avg Weekly Pay,Establishments,WHD Office Name,Industry
CA,California,Santa Barbara County,212,231,1555,9,Los Angeles,Mining (except Oil and Gas)
CA,California,Santa Clara County,212,0,0,5,San Francisco,Mining (except Oil and Gas)
CA,California,Santa Cruz County,212,0,0,3,San Francisco,Mining (except Oil and Gas)
CA,California,Shasta County,212,0,0,5,Sacramento,Mining (except Oil and Gas)
CA,California,Sierra County,212,10,477,4,Sacramento,Mining (except Oil and Gas)
CA,California,Siskiyou County,212,21,945,6,Sacramento,Mining (except Oil and Gas)
CA,California,Solano County,212,0,0,2,Sacramento,Mining (except Oil and Gas)
CA,California,Sonoma County,212,89,1069,9,San Francisco,Mining (except Oil and Gas)
CA,California,Stanislaus County,212,0,0,2,Sacramento,Mining (except Oil and Gas)
CA,California,Sutter County,212,0,0,1,Sacramento,Mining (except Oil and Gas)
CA,California,Tehama County,212,0,0,1,Sacramento,Mining (except Oil and Gas)
CA,California,Tulare County,212,0,0,2,Sacramento,Mining (except Oil and Gas)
CA,California,Tuolumne County,212,0,0,2,Sacramento,Mining (except Oil and Gas)
CA,California,Ventura County,212,106,985,9,Los Angeles,Mining (except Oil and Gas)
CA,California,Yolo County,212,0,0,6,Sacramento,Mining (except Oil and Gas)
CA,California,Yuba County,212,101,1385,6,Sacramento,Mining (except Oil and Gas)
CA,California,Alameda County,213,0,0,4,San Francisco,Support Activities for Mining
CA,California,Colusa County,213,0,0,2,Sacramento,Support Activities for Mining
CA,California,Contra Costa County,213,0,0,1,San Francisco,Support Activities for Mining
CA,California,El Dorado County,213,0,0,2,Sacramento,Support Activities for Mining
CA,California,Fresno County,213,0,0,5,Sacramento,Support Activities for Mining
CA,California,Glenn County,213,0,0,1,Sacramento,Support Activities for Mining
CA,California,Humboldt County,213,0,0,1,San Francisco,Support Activities for Mining
CA,California,Kern County,213,5148,1366,146,Sacramento,Support Activities for Mining
CA,California,Lake County,213,0,0,1,Sacramento,Support Activities for Mining
CA,California,Lassen County,213,0,0,1,Sacramento,Support Activities for Mining
CA,California,Los Angeles County,213,3542,1215,42,Los Angeles,Support Activities for Mining
CA,California,Madera County,213,0,0,1,Sacramento,Support Activities for Mining
CA,California,Mariposa County,213,0,0,1,Sacramento,Support Activities for Mining
