CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Ballard County,50,21,7,7,0,8213,4051,4162,3818,3933,133,120,7,12,11,17,0,1,82,79,3898,4011,179,160,37,44,20,26,0,2,4002,4107,3774,3888,133,119,5,9,11,14,0,1,79,76,3851,3963,177,158,34,39,20,23,0,2,49,55,44,45,0,1,2,3,0,3,0,0,3,3,47,48,2,2,3,5,0,3,0,0
Baltimore County,50,24,5,7,0,827794,391801,435993,252643,272436,103704,126384,1687,1739,24102,24933,309,320,9356,10181,260666,281038,109412,132895,4084,4464,27277,28246,672,735,370605,415784,236141,257266,101203,123509,1023,1141,23800,24636,159,172,8279,9060,243194,264856,106253,129312,2966,3393,26763,27722,487,537,21196,20209,16502,15170,2501,2875,664,598,302,297,150,148,1077,1121,17472,16182,3159,3583,1118,1071,514,524,185,198
Baltimore city,50,24,510,7,0,623711,294190,329521,98273,98636,180144,214079,1380,1369,8078,8570,338,217,5977,6650,102920,103653,183983,218577,3464,3779,9799,10463,615,518,278105,316164,86621,89167,177541,211597,872,989,7852,8422,136,115,5083,5874,90497,93536,180854,215616,2527,3023,9423,10175,362,373,16085,13357,11652,9469,2603,2482,508,380,226,148,202,102,894,776,12423,10117,3129,2961,937,756,376,288,253,145
Bamberg County,50,45,9,7,0,15191,7340,7851,2829,2789,4361,4925,23,33,37,32,4,4,86,68,2905,2845,4415,4969,51,58,51,43,6,5,7178,7730,2731,2705,4315,4899,17,27,37,32,1,3,77,64,2799,2758,4364,4940,40,51,51,42,3,4,162,121,98,84,46,26,6,6,0,0,3,1,9,4,106,87,51,29,11,7,0,1,3,1
Bandera County,50,48,19,7,0,20916,10320,10596,9911,10163,104,76,134,105,40,80,5,2,126,170,10029,10321,142,130,203,209,63,102,10,6,8439,8728,8136,8389,87,68,79,67,39,76,0,0,98,128,8226,8505,117,109,132,145,60,97,3,2,1881,1868,1775,1774,17,8,55,38,1,4,5,2,28,42,1803,1816,25,21,71,64,3,5,7,4
Banks County,50,13,11,7,0,18313,9276,9037,8709,8464,266,265,60,51,115,120,12,13,114,124,8818,8572,314,321,114,109,129,141,16,22,8603,8524,8120,8013,245,250,19,23,109,119,1,1,109,118,8224,8116,289,303,72,77,123,139,5,10,673,513,589,451,21,15,41,28,6,1,11,12,5,6,594,456,25,18,42,32,6,2,11,12
Banner County,50,31,7,7,0,748,383,365,375,359,2,5,2,0,0,0,0,0,4,1,379,360,3,5,4,1,1,0,0,0,367,350,359,344,2,5,2,0,0,0,0,0,4,1,363,345,3,5,4,1,1,0,0,0,16,15,16,15,0,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0
Bannock County,50,16,5,7,0,83471,41540,41931,37963,38488,395,330,1569,1515,532,620,143,100,938,878,38871,39328,599,516,1999,1908,843,926,236,180,38095,38646,35144,35796,342,286,1209,1173,502,567,125,92,773,732,35897,36499,508,444,1529,1470,782,840,201,163,3445,3285,2819,2692,53,44,360,342,30,53,18,8,165,146,2974,2829,91,72,470,438,61,86,35,17
Baraga County,50,26,13,7,0,8643,4733,3910,3294,3085,645,22,600,588,16,12,0,0,178,203,3469,3275,682,62,729,739,34,29,3,11,4669,3852,3263,3057,642,17,577,565,16,12,0,0,171,201,3431,3245,676,56,701,715,34,29,3,11,64,58,31,28,3,5,23,23,0,0,0,0,7,2,38,30,6,6,28,24,0,0,0,0
Barber County,50,20,7,7,0,4870,2482,2388,2383,2301,22,11,25,20,9,20,0,1,43,35,2426,2333,42,31,47,32,11,25,1,2,2391,2301,2302,2230,20,10,23,15,9,18,0,1,37,27,2339,2254,38,24,42,26,11,22,0,2,91,87,81,71,2,1,2,5,0,2,0,0,6,8,87,79,4,7,5,6,0,3,1,0
Barbour County,100,55,6,14,0,43523,22444,21079,15061,14559,6869,6072,139,102,77,90,33,20,265,236,15292,14770,7021,6202,253,198,116,130,41,30,21676,20512,14450,14097,6803,6018,83,70,75,88,19,9,246,230,14665,14303,6945,6145,191,164,107,125,25,18,768,567,611,462,66,54,56,32,2,2,14,11,19,6,627,467,76,57,62,34,9,5,16,12
Barnes County,50,38,3,7,0,11118,5571,5547,5223,5285,116,50,67,52,68,65,3,5,94,90,5310,5364,144,82,114,104,91,83,12,9,5450,5481,5141,5229,107,50,59,50,67,65,2,4,74,83,5209,5302,130,79,97,96,86,82,7,7,121,66,82,56,9,0,8,2,1,0,1,1,20,7,101,62,14,3,17,8,5,1,5,2
Barnstable County,50,25,1,7,0,214665,102371,112294,95252,105465,3016,2495,828,753,1317,1578,71,59,1887,1944,96974,107206,3970,3485,1442,1418,1852,2120,155,145,99386,109475,92873,103159,2780,2293,690,641,1293,1555,50,44,1700,1783,94426,104750,3598,3172,1247,1261,1810,2078,124,115,2985,2819,2379,2306,236,202,138,112,24,23,21,15,187,161,2548,2456,372,313,195,157,42,42,31,30
Barnwell County,50,45,11,7,0,21935,10459,11476,5689,5925,4439,5257,66,60,77,78,4,1,184,155,5855,6057,4547,5362,121,111,112,98,10,10,10123,11272,5442,5777,4381,5213,49,52,77,78,1,1,173,151,5598,5905,4484,5316,99,102,109,97,7,10,336,204,247,148,58,44,17,8,0,0,3,0,11,4,257,152,63,46,22,9,3,1,3,0
Barren County,50,21,9,7,0,43073,20907,22166,19432,20708,879,904,91,52,137,162,32,22,336,318,19757,21016,1063,1110,211,146,175,195,42,30,20160,21631,18840,20280,855,875,43,32,131,146,2,4,289,294,19123,20566,1026,1068,139,116,158,176,8,11,747,535,592,428,24,29,48,20,6,16,30,18,47,24,634,450,37,42,72,30,17,19,34,19
Barron County,50,55,5,7,0,45503,22699,22804,21727,21928,352,171,210,237,114,188,5,1,291,279,22011,22192,471,280,330,364,183,255,10,12,22145,22256,21249,21462,338,155,177,190,112,187,3,1,266,261,21508,21709,445,256,283,308,181,250,8,12,554,548,478,466,14,16,33,47,2,1,2,0,25,18,503,483,26,24,47,56,2,5,2,0
