CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Laramie County,50,56,21,1,0,91738,45875,45863,42269,42534,1378,1023,542,540,434,627,90,75,1162,1064,43358,43534,1826,1447,1007,976,772,919,168,124,39830,39930,36946,37323,1231,848,296,303,377,570,67,53,913,833,37801,38116,1587,1186,630,611,659,803,126,91,6045,5933,5323,5211,147,175,246,237,57,57,23,22,249,231,5557,5418,239,261,377,365,113,116,42,33
Larimer County,50,8,69,1,0,299630,148637,150993,139514,141751,1594,1124,1510,1471,2741,3319,140,137,3138,3191,142527,144812,2382,1922,2862,2854,3896,4479,320,325,132516,135486,125314,128141,1369,916,672,618,2603,3184,102,96,2456,2531,127673,130570,2002,1569,1575,1565,3641,4219,247,247,16121,15507,14200,13610,225,208,838,853,138,135,38,41,682,660,14854,14242,380,353,1287,1289,255,260,73,78
Larue County,50,21,123,1,0,14193,7038,7155,6662,6822,249,198,22,18,7,19,1,2,97,96,6755,6917,302,243,64,56,12,27,7,9,6783,7009,6417,6684,248,195,20,15,6,19,0,2,92,94,6505,6777,300,240,59,51,11,27,5,9,255,146,245,138,1,3,2,3,1,0,1,0,5,2,250,140,2,3,5,5,1,0,2,0
Las Animas County,50,8,71,1,0,15507,7948,7559,7243,7063,196,39,279,243,61,59,6,8,163,147,7399,7204,217,64,408,354,79,80,17,13,4662,4399,4261,4166,178,23,102,76,48,50,2,2,71,82,4330,4244,190,39,147,129,58,66,10,7,3286,3160,2982,2897,18,16,177,167,13,9,4,6,92,65,3069,2960,27,25,261,225,21,14,7,6
Lassen County,50,6,35,1,0,34895,22416,12479,17627,11066,2909,135,905,522,270,156,107,73,598,527,18178,11572,3030,215,1292,877,385,246,147,116,17627,11151,13493,9980,2827,120,596,409,199,143,95,68,417,431,13876,10399,2920,189,868,690,269,215,124,104,4789,1328,4134,1086,82,15,309,113,71,13,12,5,181,96,4302,1173,110,26,424,187,116,31,23,12
Latah County,50,16,57,1,0,37244,19163,18081,17964,17027,196,103,139,121,414,375,27,30,423,425,18377,17439,292,193,328,313,573,526,53,64,18514,17404,17390,16420,193,98,109,109,406,371,24,22,392,384,17773,16792,281,172,280,277,556,512,43,50,649,677,574,607,3,5,30,12,8,4,3,8,31,41,604,647,11,21,48,36,17,14,10,14
Latimer County,50,40,77,1,0,11154,5649,5505,3981,3890,63,22,1178,1126,8,23,0,1,419,443,4393,4322,91,49,1570,1553,18,34,2,3,5496,5365,3898,3821,61,20,1134,1081,8,23,0,1,395,419,4287,4233,88,43,1507,1485,13,33,2,3,153,140,83,69,2,2,44,45,0,0,0,0,24,24,106,89,3,6,63,68,5,1,0,0
Lauderdale County,150,76,249,3,0,200785,97658,103127,69727,73152,25761,27793,388,362,685,712,51,43,1046,1065,70668,74085,26357,28421,793,759,848,881,101,100,95445,101246,68015,71679,25510,27574,312,308,639,682,18,23,951,980,68884,72540,26060,28149,662,669,787,841,50,70,2213,1881,1712,1473,251,219,76,54,46,30,33,20,95,85,1784,1545,297,272,131,90,61,40,51,30
Laurel County,50,21,125,1,0,58849,28849,30000,28126,29230,234,198,89,102,139,163,6,5,255,302,28375,29528,311,308,249,281,166,192,21,11,28458,29674,27797,28956,222,190,64,81,137,161,2,2,236,284,28027,29238,298,298,209,245,160,188,15,7,391,326,329,274,12,8,25,21,2,2,4,3,19,18,348,290,13,10,40,36,6,4,6,4
Laurens County,100,58,234,2,0,114971,55364,59607,38289,39877,15930,18540,151,168,337,370,49,30,608,622,38837,40442,16320,18937,340,372,430,458,66,52,53248,57851,36508,38398,15742,18367,95,130,316,359,17,15,570,582,37026,38929,16109,18748,270,313,398,438,31,35,2116,1756,1781,1479,188,173,56,38,21,11,32,15,38,40,1811,1513,211,189,70,59,32,20,35,17
Lavaca County,50,48,285,1,0,19263,9416,9847,8589,8963,662,707,42,47,20,40,8,9,95,81,8680,9042,713,747,80,79,33,51,9,10,7849,8337,7121,7579,614,643,13,17,18,38,8,9,75,51,7194,7628,654,668,43,39,26,44,9,10,1567,1510,1468,1384,48,64,29,30,2,2,0,0,20,30,1486,1414,59,79,37,40,7,7,0,0
Lawrence County,550,293,1001,11,0,401668,197337,204331,183351,191287,8436,7196,1775,1786,623,832,51,50,3101,3180,186362,194362,9627,8416,3515,3556,970,1199,111,128,193298,201068,179878,188434,8274,7111,1616,1662,591,818,23,27,2916,3016,182720,191362,9395,8275,3255,3332,891,1143,75,95,4039,3263,3473,2853,162,85,159,124,32,14,28,23,185,164,3642,3000,232,141,260,224,79,56,36,33
Le Flore County,50,40,79,1,0,50384,25296,25088,19852,19951,646,407,3227,3141,123,153,33,31,1415,1405,21216,21312,782,561,4503,4405,190,209,52,46,23393,23537,18242,18629,623,394,3058,3014,114,145,10,11,1346,1344,19544,19933,740,537,4279,4229,179,194,27,26,1903,1551,1610,1322,23,13,169,127,9,8,23,20,69,61,1672,1379,42,24,224,176,11,15,25,20
